OTU,OTU.code,kingdom,phylum,class,order,family,genus,species,Guild,Taxon_Level,Trophic_Mode,Growth_Morphology,Trait,Confidence_Ranking,Category.In.This.Study,Nreads.TES,Nreads.TOMA,Nreads.YKS,Nreads.SGD,Nreads.YSD,Nreads.YAKU,Nreads.YONA,Nreads.IRI,Nreads.North,Nreads.South,Nreads.All,betweenness.ALL,degree.ALL,closeness.ALL,eigenvector.centrality.ALL,degree.North,closeness.North,eigenvector.centrality.North,betweenness.North,degree.South,closeness.South,eigenvector.centrality.South,betweenness.South,betweenness.local.mean.ALL,betweenness.local.mean.North,betweenness.local.mean.South,degree.TES,betweenness.TES,eigenvector.centrality.TES,closeness.TES,degree.TOMA,betweenness.TOMA,eigenvector.centrality.TOMA,closeness.TOMA,degree.YKS,betweenness.YKS,eigenvector.centrality.YKS,closeness.YKS,degree.SGD,betweenness.SGD,eigenvector.centrality.SGD,closeness.SGD,degree.YSD,betweenness.YSD,eigenvector.centrality.YSD,closeness.YSD,degree.YAKU,betweenness.YAKU,eigenvector.centrality.YAKU,closeness.YAKU,degree.YONA,betweenness.YONA,eigenvector.centrality.YONA,closeness.YONA,degree.IRI,betweenness.IRI,eigenvector.centrality.IRI,closeness.IRI,dprime.TES,dprime.TOMA,dprime.YKS,dprime.SGD,dprime.YSD,dprime.YAKU,dprime.YONA,dprime.IRI,betweenness.weighted.ALL,betweenness.weighted.North,betweenness.weighted.South,betweenness.weighted.TES,betweenness.weighted.TOMA,betweenness.weighted.YKS,betweenness.weighted.SGD,betweenness.weighted.YSD,betweenness.weighted.YAKU,betweenness.weighted.YONA,betweenness.weighted.IRI,Category.col,betweenness.weighted.local.mean.ALL,betweenness.weighted.local.mean.North,betweenness.weighted.local.mean.South
F_4388,2113:10613:19436__T593__S_0067,Fungi,Ascomycota,0,0,0,0,0,-,-,-,-,-,-,Others_Unknown,12,0,0,0,0,0,0,0,12,0,12,0,0.001814882,0.270042194,0.0030811,0.002967359,0.228782288,0,0,NA,NA,NA,NA,0,0,NA,0,0,0.133796638,0.202657257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.098897176,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,grey60,0,0,NA
F_4389,2114:3970:17867__T593__S_1018,Fungi,Ascomycota,0,0,0,0,0,-,-,-,-,-,-,Others_Unknown,0,0,0,0,0,0,12,0,0,12,12,5.58E-05,0.001814882,0.278481013,0.001342635,NA,NA,NA,NA,0.003401361,0.193832599,0,0.000135639,0.007876562,NA,0.007876562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.041666667,0.007876562,0.158440716,0.258036315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.064031382,NA,0.000533623,NA,0.000895976,NA,NA,NA,NA,NA,NA,0.023605462,NA,grey60,0.023605462,NA,0.023605462
F_4390,1101:19639:21233__T604__S_0327,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,0,-,-,-,-,-,-,Others_Unknown,0,0,0,0,0,12,0,0,0,12,12,0.00061722,0.003629764,0.316455696,0.001999205,NA,NA,NA,NA,0.006802721,0.264317181,0,0.001584026,0.041005378,NA,0.041005378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105263158,0.041005378,0.424212013,0.542067353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.005034949,NA,0.008787893,NA,NA,NA,NA,NA,0.226839212,NA,NA,grey60,0.226839212,NA,0.226839212
F_4391,1102:11527:3694__T604__S_0060,Fungi,Ascomycota,Dothideomycetes,0,0,0,0,-,-,-,-,-,-,Others_Unknown,0,12,0,0,0,0,0,0,12,0,12,0,0,0.282700422,0.002655185,0,0.254612546,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0.210547136,0.390349769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,grey60,0,0,NA
F_4392,1103:26282:7669__T604__S_0048,Fungi,Ascomycota,Dothideomycetes,0,0,0,0,-,-,-,-,-,-,Others_Unknown,0,0,0,0,0,12,0,0,0,12,12,0.0006354,0.003629764,0.308016878,0.001537895,NA,NA,NA,NA,0.006802721,0.251101322,0,0.00165122,0.041289738,NA,0.041289738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105263158,0.041289738,0.345264274,0.470388987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.061697121,NA,NA,0.004110749,NA,0.007295093,NA,NA,NA,NA,NA,0.178996363,NA,NA,grey60,0.178996363,NA,0.178996363
F_4393,1102:17981:12062__T604__S_1230,Fungi,Ascomycota,Dothideomycetes,Capnodiales,0,0,0,-,-,-,-,-,-,Others_Unknown,0,0,0,0,12,0,0,0,0,12,12,0.000267812,0.005444646,0.286919831,0.003757136,NA,NA,NA,NA,0.010204082,0.211453744,0,0.000739353,0.019983,NA,0.019983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133333333,0.019983,0.276467012,0.306881756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.111505836,NA,NA,NA,0.000569762,NA,0.001096597,NA,NA,NA,NA,0.016987942,NA,NA,NA,grey60,0.016987942,NA,0.016987942
F_4394,1107:4656:7985__T604__S_1185,Fungi,Ascomycota,Dothideomycetes,Capnodiales,0,0,0,-,-,-,-,-,-,Others_Unknown,0,0,0,0,12,0,0,0,0,12,12,0.000510223,0.005444646,0.29535865,0.003619687,NA,NA,NA,NA,0.010204082,0.224669604,0,0.001378446,0.03963319,NA,0.03963319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.03963319,0.322306044,0.355100831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.128732625,NA,NA,NA,0.005720936,NA,0.010592182,NA,NA,NA,NA,0.17835176,NA,NA,NA,grey60,0.17835176,NA,0.17835176
F_4395,2112:7511:19845__T604__S_1295,Fungi,Ascomycota,Dothideomycetes,Capnodiales,0,0,0,-,-,-,-,-,-,Others_Unknown,0,0,0,0,12,0,0,0,0,12,12,0.00064092,0.005444646,0.299578059,0.003657442,NA,NA,NA,NA,0.010204082,0.233480176,0,0.001690758,0.047238844,NA,0.047238844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.047238844,0.382473128,0.405180092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.085591153,NA,NA,NA,0.007028387,NA,0.012836813,NA,NA,NA,NA,0.217031957,NA,NA,NA,grey60,0.217031957,NA,0.217031957
F_4396,1104:8209:10833__T593__S_0332,Fungi,Ascomycota,Dothideomycetes,Pleosporales,0,0,0,-,-,-,-,-,-,Others_Unknown,12,0,0,0,0,0,0,0,12,0,12,0,0,0.270042194,0.001147375,0,0.228782288,0,0,NA,NA,NA,NA,0,0,NA,0,0,0.128147887,0.202159247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.034195438,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,grey60,0,0,NA
F_4397,1101:14922:27370__T593__S_1245,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Ophiosphaerella,0,Undefined_Saprotroph,13,Saprotroph,NULL,NULL,Probable,Saprotroph,0,0,12,0,0,0,0,0,12,0,12,0,0,0.270042194,0.00190187,0,0.236162362,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.26373077,0.301039057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.140990508,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,goldenrod1,0,0,NA
