"source_taxon_name","source_taxon_path","source_taxon_path_ids","source_specimen_life_stage_id","source_specimen_life_stage","source_specimen_physiological_state_id","source_specimen_physiological_state","source_specimen_body_part_id","source_specimen_body_part","interaction_type","target_taxon_name","target_taxon_path","target_taxon_path_ids","target_specimen_life_stage_id","target_specimen_physiological_state","target_specimen_physiological_state_id","target_specimen_physiological_state","target_specimen_body_part_id","target_specimen_body_part","latitude","longitude","study_citation","study_url","study_source_citation"
"Opius","Animalia | Arthropoda | Insecta | Hymenoptera | Ichneumonoidea | Braconidae | Opius","EOL:1 | EOL:164 | EOL:344 | EOL:648 | EOL:660 | EOL:661 | EOL:72936",,,,,,,"parasiteOf","Rhagoletis pomonella","Animalia | Arthropoda | Insecta | Diptera | Tephritidae | Rhagoletis | Rhagoletis pomonella","EOL:1 | EOL:164 | EOL:344 | EOL:421 | EOL:9023 | EOL:25780 | EOL:723988",,,,,,,,,"Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.",,"Sarah E. Miller.  04/14/2015.  Information extracted from litterature Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.. Accessed at <https://github.com/millerse/Wharton-and-Marsh-1978.-New-World-Opiinae/archive/5e6ca4a365cc982805ccad588dc129d4bb230f4e.zip> on 24 Sep 2018."
"Opius","Animalia | Arthropoda | Insecta | Hymenoptera | Ichneumonoidea | Braconidae | Opius","EOL:1 | EOL:164 | EOL:344 | EOL:648 | EOL:660 | EOL:661 | EOL:72936",,,,,,,"parasiteOf","Rhagoletis zephyria","Animalia | Arthropoda | Insecta | Diptera | Tephritidae | Rhagoletis | Rhagoletis zephyria","EOL:1 | EOL:164 | EOL:344 | EOL:421 | EOL:9023 | EOL:25780 | EOL:724249",,,,,,,,,"Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.",,"Sarah E. Miller.  04/14/2015.  Information extracted from litterature Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.. Accessed at <https://github.com/millerse/Wharton-and-Marsh-1978.-New-World-Opiinae/archive/5e6ca4a365cc982805ccad588dc129d4bb230f4e.zip> on 24 Sep 2018."
"Opius","Animalia | Arthropoda | Insecta | Hymenoptera | Ichneumonoidea | Braconidae | Opius","EOL:1 | EOL:164 | EOL:344 | EOL:648 | EOL:660 | EOL:661 | EOL:72936",,,,,,,"parasiteOf","Rhagoletis fausta","Animalia | Arthropoda | Insecta | Diptera | Tephritidae | Rhagoletis | Rhagoletis fausta","EOL:1 | EOL:164 | EOL:344 | EOL:421 | EOL:9023 | EOL:25780 | EOL:724553",,,,,,,,,"Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.",,"Sarah E. Miller.  04/14/2015.  Information extracted from litterature Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.. Accessed at <https://github.com/millerse/Wharton-and-Marsh-1978.-New-World-Opiinae/archive/5e6ca4a365cc982805ccad588dc129d4bb230f4e.zip> on 24 Sep 2018."
"Opius","Animalia | Arthropoda | Insecta | Hymenoptera | Ichneumonoidea | Braconidae | Opius","EOL:1 | EOL:164 | EOL:344 | EOL:648 | EOL:660 | EOL:661 | EOL:72936",,,,,,,"parasiteOf","Rhagoletis tabellaria","Animalia | Arthropoda | Insecta | Diptera | Tephritidae | Rhagoletis | Rhagoletis tabellaria","EOL:1 | EOL:164 | EOL:344 | EOL:421 | EOL:9023 | EOL:25780 | EOL:726922",,,,,,,,,"Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.",,"Sarah E. Miller.  04/14/2015.  Information extracted from litterature Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.. Accessed at <https://github.com/millerse/Wharton-and-Marsh-1978.-New-World-Opiinae/archive/5e6ca4a365cc982805ccad588dc129d4bb230f4e.zip> on 24 Sep 2018."
"Opius","Animalia | Arthropoda | Insecta | Hymenoptera | Ichneumonoidea | Braconidae | Opius","EOL:1 | EOL:164 | EOL:344 | EOL:648 | EOL:660 | EOL:661 | EOL:72936",,,,,,,"parasiteOf","Rhagoletis mendax","Animalia | Arthropoda | Insecta | Diptera | Tephritidae | Rhagoletis | Rhagoletis mendax","EOL:1 | EOL:164 | EOL:344 | EOL:421 | EOL:9023 | EOL:25780 | EOL:727255",,,,,,,,,"Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.",,"Sarah E. Miller.  04/14/2015.  Information extracted from litterature Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.. Accessed at <https://github.com/millerse/Wharton-and-Marsh-1978.-New-World-Opiinae/archive/5e6ca4a365cc982805ccad588dc129d4bb230f4e.zip> on 24 Sep 2018."
"Opius","Animalia | Arthropoda | Insecta | Hymenoptera | Ichneumonoidea | Braconidae | Opius","EOL:1 | EOL:164 | EOL:344 | EOL:648 | EOL:660 | EOL:661 | EOL:72936",,,,,,,"parasiteOf","Rhagoletis","Animalia | Arthropoda | Insecta | Diptera | Tephritidae | Rhagoletis","EOL:1 | EOL:164 | EOL:344 | EOL:421 | EOL:9023 | EOL:25780",,,,,,,,,"Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.",,"Sarah E. Miller.  04/14/2015.  Information extracted from litterature Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.. Accessed at <https://github.com/millerse/Wharton-and-Marsh-1978.-New-World-Opiinae/archive/5e6ca4a365cc982805ccad588dc129d4bb230f4e.zip> on 24 Sep 2018."
"Opius","Animalia | Arthropoda | Insecta | Hymenoptera | Ichneumonoidea | Braconidae | Opius","EOL:1 | EOL:164 | EOL:344 | EOL:648 | EOL:660 | EOL:661 | EOL:72936",,,,,,,"parasiteOf","Anastrepha fraterculus","Animalia | Arthropoda | Insecta | Diptera | Tephritidae | Anastrepha | Anastrepha fraterculus","EOL:1 | EOL:164 | EOL:344 | EOL:421 | EOL:9023 | EOL:79415 | EOL:723915",,,,,,,,,"Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.",,"Sarah E. Miller.  04/14/2015.  Information extracted from litterature Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.. Accessed at <https://github.com/millerse/Wharton-and-Marsh-1978.-New-World-Opiinae/archive/5e6ca4a365cc982805ccad588dc129d4bb230f4e.zip> on 24 Sep 2018."
"Opius","Animalia | Arthropoda | Insecta | Hymenoptera | Ichneumonoidea | Braconidae | Opius","EOL:1 | EOL:164 | EOL:344 | EOL:648 | EOL:660 | EOL:661 | EOL:72936",,,,,,,"parasiteOf","Anastrepha obliqua","Animalia | Arthropoda | Insecta | Diptera | Tephritidae | Anastrepha | Anastrepha obliqua","EOL:1 | EOL:164 | EOL:344 | EOL:421 | EOL:9023 | EOL:79415 | EOL:725206",,,,,,,,,"Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.",,"Sarah E. Miller.  04/14/2015.  Information extracted from litterature Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.. Accessed at <https://github.com/millerse/Wharton-and-Marsh-1978.-New-World-Opiinae/archive/5e6ca4a365cc982805ccad588dc129d4bb230f4e.zip> on 24 Sep 2018."
"Opius","Animalia | Arthropoda | Insecta | Hymenoptera | Ichneumonoidea | Braconidae | Opius","EOL:1 | EOL:164 | EOL:344 | EOL:648 | EOL:660 | EOL:661 | EOL:72936",,,,,,,"parasiteOf","Anastrepha suspensa","Animalia | Arthropoda | Insecta | Diptera | Tephritidae | Anastrepha | Anastrepha suspensa","EOL:1 | EOL:164 | EOL:344 | EOL:421 | EOL:9023 | EOL:79415 | EOL:725297",,,,,,,,,"Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.",,"Sarah E. Miller.  04/14/2015.  Information extracted from litterature Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.. Accessed at <https://github.com/millerse/Wharton-and-Marsh-1978.-New-World-Opiinae/archive/5e6ca4a365cc982805ccad588dc129d4bb230f4e.zip> on 24 Sep 2018."
"Opius","Animalia | Arthropoda | Insecta | Hymenoptera | Ichneumonoidea | Braconidae | Opius","EOL:1 | EOL:164 | EOL:344 | EOL:648 | EOL:660 | EOL:661 | EOL:72936",,,,,,,"parasiteOf","Rhagoletis basiola","Animalia | Arthropoda | Insecta | Diptera | Tephritidae | Rhagoletis | Rhagoletis basiola","EOL:1 | EOL:164 | EOL:344 | EOL:421 | EOL:9023 | EOL:25780 | EOL:724549",,,,,,,,,"Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.",,"Sarah E. Miller.  04/14/2015.  Information extracted from litterature Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.. Accessed at <https://github.com/millerse/Wharton-and-Marsh-1978.-New-World-Opiinae/archive/5e6ca4a365cc982805ccad588dc129d4bb230f4e.zip> on 24 Sep 2018."
